mentee_name,gale_shapley_matched_mentor_name
PERSON_0439,PERSON_0448
PERSON_0781,PERSON_0429
PERSON_0042,PERSON_0420
PERSON_0572,PERSON_0066
PERSON_0818,PERSON_0779
PERSON_0631,PERSON_0620
PERSON_0778,PERSON_0467
PERSON_0733,PERSON_0514
PERSON_0529,PERSON_0179
PERSON_0614,PERSON_0325
PERSON_0688,PERSON_0597
PERSON_0106,PERSON_0797
PERSON_0447,PERSON_0585
PERSON_0523,PERSON_0218
PERSON_0684,PERSON_0568
PERSON_0627,PERSON_0786
PERSON_0613,PERSON_0830
PERSON_0609,PERSON_0621
PERSON_0539,PERSON_0471
PERSON_0813,PERSON_0228
PERSON_0623,PERSON_0151
PERSON_0635,PERSON_0645
PERSON_0784,PERSON_0699
PERSON_0311,PERSON_0673
PERSON_0004,PERSON_0495
PERSON_0642,PERSON_0123
PERSON_0457,PERSON_0594
PERSON_0146,PERSON_0487
PERSON_0834,PERSON_0700
PERSON_0792,PERSON_0769
PERSON_0705,PERSON_0541
PERSON_0760,PERSON_0547
PERSON_0724,PERSON_0284
PERSON_0777,PERSON_0653
PERSON_0780,PERSON_0246
PERSON_0775,PERSON_0428
PERSON_0810,PERSON_0014
PERSON_0833,PERSON_0103
PERSON_0515,PERSON_0551
PERSON_0422,PERSON_0466
PERSON_0773,PERSON_0347
PERSON_0821,PERSON_0387
PERSON_0559,PERSON_0498
PERSON_0596,PERSON_0004
PERSON_0812,PERSON_0210
PERSON_0444,PERSON_0083
PERSON_0804,PERSON_0583
PERSON_0794,PERSON_0456
PERSON_0672,PERSON_0595
PERSON_0629,PERSON_0570
PERSON_0814,PERSON_0288
PERSON_0771,PERSON_0199
PERSON_0446,PERSON_0437
PERSON_0499,PERSON_0509
PERSON_0657,PERSON_0465
PERSON_0828,PERSON_0783
PERSON_0738,PERSON_0563
PERSON_0320,PERSON_0491
PERSON_0474,PERSON_0494
PERSON_0552,PERSON_0291
PERSON_0668,PERSON_0115
PERSON_0817,PERSON_0624
PERSON_0761,PERSON_0469
PERSON_0389,PERSON_0483
PERSON_0671,PERSON_0150
PERSON_0595,PERSON_0114
PERSON_0713,PERSON_0384
PERSON_0610,PERSON_0566
PERSON_0587,PERSON_0224
PERSON_0656,PERSON_0564
PERSON_0299,PERSON_0789
PERSON_0553,PERSON_0588
PERSON_0722,PERSON_0337
PERSON_0793,PERSON_0521
PERSON_0694,PERSON_0829
PERSON_0598,PERSON_0754
PERSON_0768,PERSON_0022
PERSON_0675,PERSON_0069
PERSON_0533,PERSON_0504
PERSON_0697,PERSON_0574
PERSON_0557,PERSON_0499
PERSON_0729,PERSON_0633
PERSON_0634,PERSON_0715
PERSON_0434,PERSON_0607
PERSON_0728,PERSON_0449
PERSON_0059,PERSON_0558
PERSON_0727,PERSON_0262
PERSON_0719,PERSON_0443
PERSON_0423,PERSON_0809
PERSON_0832,PERSON_0075
PERSON_0648,PERSON_0531
PERSON_0643,PERSON_0411
PERSON_0757,PERSON_0701
PERSON_0564,PERSON_0766
PERSON_0586,PERSON_0540
PERSON_0151,PERSON_0641
PERSON_0660,PERSON_0537
PERSON_0815,PERSON_0592
PERSON_0391,PERSON_0475
PERSON_0484,PERSON_0663
PERSON_0508,PERSON_0426
PERSON_0819,PERSON_0703
PERSON_0731,PERSON_0711
PERSON_0707,PERSON_0034
PERSON_0772,PERSON_0526
PERSON_0836,PERSON_0054
PERSON_0392,PERSON_0462
PERSON_0822,PERSON_0272
PERSON_0799,PERSON_0489
PERSON_0706,PERSON_0453
PERSON_0679,PERSON_0185
PERSON_0477,PERSON_0093
PERSON_0698,PERSON_0554
PERSON_0470,PERSON_0435
PERSON_0677,PERSON_0512
PERSON_0384,PERSON_0481
PERSON_0667,PERSON_0141
PERSON_0580,PERSON_0235
PERSON_0168,PERSON_0626
PERSON_0424,PERSON_0085
PERSON_0811,PERSON_0749
PERSON_0690,PERSON_0485
PERSON_0544,PERSON_0418
