mentee_name,gale_shapley_matched_mentor_name
PERSON_1067,PERSON_0152
PERSON_0120,PERSON_1188
PERSON_1068,PERSON_0273
PERSON_1069,PERSON_1200
PERSON_1070,PERSON_1201
PERSON_1071,PERSON_1167
PERSON_1072,PERSON_0031
PERSON_0203,PERSON_0541
PERSON_1073,PERSON_0414
PERSON_1074,PERSON_0187
PERSON_1075,PERSON_1196
PERSON_1076,PERSON_1202
PERSON_1077,PERSON_1184
PERSON_1078,PERSON_0475
PERSON_0702,PERSON_0268
PERSON_1079,PERSON_0152
PERSON_1080,PERSON_1203
PERSON_1081,PERSON_1180
PERSON_0419,PERSON_0031
PERSON_1082,PERSON_1204
PERSON_1083,PERSON_0663
PERSON_1084,PERSON_0456
PERSON_1085,PERSON_0039
PERSON_0610,PERSON_0396
PERSON_1086,PERSON_1204
PERSON_1087,PERSON_1205
PERSON_1088,PERSON_1199
PERSON_1089,PERSON_1164
PERSON_1090,PERSON_1206
PERSON_1091,PERSON_0872
PERSON_1092,PERSON_0224
PERSON_1093,PERSON_1207
PERSON_0192,PERSON_1195
PERSON_1094,PERSON_1199
PERSON_0716,PERSON_0119
PERSON_1095,PERSON_0093
PERSON_1096,PERSON_0011
PERSON_1097,PERSON_1208
PERSON_1098,PERSON_1209
PERSON_1099,PERSON_0265
PERSON_1100,PERSON_0123
PERSON_1101,PERSON_1210
PERSON_0673,PERSON_0595
PERSON_1102,PERSON_1165
PERSON_0637,PERSON_1208
PERSON_1103,PERSON_1186
PERSON_0516,PERSON_0039
PERSON_1104,PERSON_1176
PERSON_1105,PERSON_0541
PERSON_1106,PERSON_0464
PERSON_0199,PERSON_0059
PERSON_1107,PERSON_1211
PERSON_1108,PERSON_1191
PERSON_1109,PERSON_1212
PERSON_1110,PERSON_0844
PERSON_1111,PERSON_1177
PERSON_1112,PERSON_1189
PERSON_1113,PERSON_1177
PERSON_1114,PERSON_0031
PERSON_1115,PERSON_1207
PERSON_1116,PERSON_0872
PERSON_1117,PERSON_0045
PERSON_0355,PERSON_0844
PERSON_1118,PERSON_1213
PERSON_1119,PERSON_1183
PERSON_1120,PERSON_1203
PERSON_1121,PERSON_1208
PERSON_1122,PERSON_1203
PERSON_1123,PERSON_0011
PERSON_1124,PERSON_1194
PERSON_1125,PERSON_1176
PERSON_1126,PERSON_1190
PERSON_1127,PERSON_1214
PERSON_0034,PERSON_0127
PERSON_1128,PERSON_1213
PERSON_1129,PERSON_0464
PERSON_1130,PERSON_0158
PERSON_1131,PERSON_0284
PERSON_1132,PERSON_0273
PERSON_1133,PERSON_0104
PERSON_1134,PERSON_1210
PERSON_1135,PERSON_0715
PERSON_1136,PERSON_1201
PERSON_1137,PERSON_1215
PERSON_1138,PERSON_0043
PERSON_1139,PERSON_1188
PERSON_1140,PERSON_0039
PERSON_1141,PERSON_1216
PERSON_1142,PERSON_0086
PERSON_0321,PERSON_1198
PERSON_1143,PERSON_0829
PERSON_1144,PERSON_1201
PERSON_1145,PERSON_1213
PERSON_1146,PERSON_1211
PERSON_1147,PERSON_1217
PERSON_1148,PERSON_0183
PERSON_1149,PERSON_1205
PERSON_1150,PERSON_0257
PERSON_1151,PERSON_1186
PERSON_1152,PERSON_0237
PERSON_1153,PERSON_1217
PERSON_1154,PERSON_1218
PERSON_0671,PERSON_0315
PERSON_1155,PERSON_0844
PERSON_1156,PERSON_1206
PERSON_1157,PERSON_1189
PERSON_1158,PERSON_0093
PERSON_1159,PERSON_0993
PERSON_1160,PERSON_0691
PERSON_1161,PERSON_0119
PERSON_1162,PERSON_1193
PERSON_1163,PERSON_1180
